team,series,label,mean,min,max,sigma2,sigma,p50
New York Jets,fpi,Overall,-5.967307692307692,-12.8,1,12.203420060331826,3.493339385220369,-7.5
Houston Texans,fpi,Overall,-5.701923076923077,-12,-0.4,10.284898190045249,3.2070076691590947,-5.550000000000001
Detroit Lions,fpi,Overall,-5.0807692307692305,-8.8,-0.5,3.7753092006033184,1.9430154916014741,-5.25
Jacksonville Jaguars,fpi,Overall,-4.828846153846154,-10.2,4.4,17.593465309200603,4.19445649747385,-6.85
New York Giants,fpi,Overall,-3.9038461538461537,-7.6,0,2.8882202111613875,1.6994764520761645,-3.6500000000000004
Chicago Bears,fpi,Overall,-3.898076923076923,-13.2,0.1,5.899407993966817,2.4288696947277386,-4.1
Atlanta Falcons,fpi,Overall,-2.828846153846154,-11.6,1.1,4.84248491704374,2.200564681404239,-2.4000000000000004
Washington,fpi,Overall,-2.6,-5.9,0.2,2.195686274509804,1.4817848273314869,-2.4
Carolina Panthers,fpi,Overall,-2.276923076923077,-7.7,1.4,5.495143288084464,2.3441721967646627,-1.9
Denver Broncos,fpi,Overall,-1.7307692307692308,-6.9,3.3,5.706485671191554,2.3888251654718378,-2.4
Miami Dolphins,fpi,Overall,-0.9884615384615385,-6.8,3.2,4.69868778280543,2.167645677412577,-1.15
Indianapolis Colts,fpi,Overall,-0.7384615384615385,-12.5,4.2,10.653001508295626,3.263893611669294,0.15000000000000002
Pittsburgh Steelers,fpi,Overall,-0.2557692307692308,-7.5,6.1,12.277024886877827,3.5038585711866035,-0.55
Las Vegas Raiders,fpi,Overall,-0.24423076923076922,-8.7,3.8,3.8731033182503767,1.9680201518913307,-0.35
Tennessee Titans,fpi,Overall,-0.12884615384615383,-7.5,2.9,4.310720211161388,2.0762273987117568,0.25
Cincinnati Bengals,fpi,Overall,0.01538461538461539,-5.8,7,19.119366515837104,4.372569783987113,-0.65
Los Angeles Chargers,fpi,Overall,0.05,-4.6,6.2,6.488039215686275,2.5471629739155435,0.25
Cleveland Browns,fpi,Overall,0.26346153846153847,-2.5,3.5,2.836874057315234,1.6843022464258706,0.2
Seattle Seahawks,fpi,Overall,0.6326923076923078,-8.1,5.3,14.153223981900453,3.762077083460738,1.35
Philadelphia Eagles,fpi,Overall,0.7134615384615385,-5.8,9,16.060795625942685,4.007592247964192,-0.75
Minnesota Vikings,fpi,Overall,0.7653846153846154,-1.4,3.2,0.6313273001508296,0.7945610738960408,0.8500000000000001
New England Patriots,fpi,Overall,1.1865384615384615,-5.1,5.7,4.954913273001508,2.225963448262686,0.8
Arizona Cardinals,fpi,Overall,1.2423076923076923,-10.1,7.3,16.37033182503771,4.046026671320607,1.7000000000000002
Dallas Cowboys,fpi,Overall,1.4865384615384616,-7.9,11.4,33.84432503770739,5.817587561670851,3
New Orleans Saints,fpi,Overall,2.2153846153846155,-2.1,7.9,7.039366515837104,2.653180452935138,1.75
San Francisco 49ers,fpi,Overall,2.3692307692307693,-6.1,6.7,4.997073906485671,2.235413587344783,2.6
Los Angeles Rams,fpi,Overall,2.626923076923077,-10.3,7.7,14.542790346907994,3.8135010616109697,4
Green Bay Packers,fpi,Overall,3.5057692307692307,-1.4,8.8,4.837809200603318,2.1995020346895156,3.85
Baltimore Ravens,fpi,Overall,4.530769230769231,0.3,9.2,3.917466063348416,1.9792589682374604,4.6
Tampa Bay Buccaneers,fpi,Overall,5.5115384615384615,-0.5,9,6.657511312217195,2.580215361596236,6.6
Buffalo Bills,fpi,Overall,6.251923076923077,1.2,10.8,9.135094268476621,3.0224318467877187,7.2
Kansas City Chiefs,fpi,Overall,7.525,2.1,11.1,6.668578431372549,2.5823590825778955,8.649999999999999
New York Jets,off,Offensive,-5.140384615384615,-10.6,-0.7,5.652650829562594,2.3775304056021227,-4.75
Chicago Bears,off,Offensive,-3.707692307692308,-11.1,-0.3,3.531704374057315,1.8792829414586072,-3.9499999999999997
Washington,off,Offensive,-3.148076923076923,-6.3,-0.5,2.2488197586727,1.4996065346192313,-3.05
Houston Texans,off,Offensive,-3.0326923076923076,-9.5,2.8,12.101851432880844,3.478771540771375,-3.75
Denver Broncos,off,Offensive,-2.875,-7.6,3.1,7.983088235294118,2.8254359372128963,-3.3499999999999996
Carolina Panthers,off,Offensive,-2.723076923076923,-9.1,1.6,6.93710407239819,2.6338382775710034,-2.5999999999999996
Jacksonville Jaguars,off,Offensive,-2.7211538461538463,-6.4,3.4,7.001308446455505,2.6459985726480477,-3.75
Pittsburgh Steelers,off,Offensive,-2.480769230769231,-8.7,1.5,4.309426847662142,2.0759159057298397,-2.8
New York Giants,off,Offensive,-2.457692307692308,-5.9,1.6,2.7428808446455504,1.656164498063387,-2.5
New England Patriots,off,Offensive,-1.8423076923076922,-6.3,2.1,3.1020965309200603,1.7612769603103484,-1.7
Detroit Lions,off,Offensive,-1.6634615384615385,-4.9,3.2,3.6635407239819004,1.9140378063094523,-1.65
Indianapolis Colts,off,Offensive,-1.6557692307692307,-11.2,2.7,11.086828808446455,3.3296889957541764,-0.95
Miami Dolphins,off,Offensive,-0.7461538461538462,-7.1,6.3,6.888024132730015,2.624504549954146,-1.7
Atlanta Falcons,off,Offensive,-0.6653846153846154,-11.7,2.3,5.39289592760181,2.3222609516593544,-0.5
Philadelphia Eagles,off,Offensive,0.005769230769230742,-6.6,7.5,11.802122926093514,3.435421797406181,-0.8
Los Angeles Chargers,off,Offensive,0.12884615384615386,-4.8,5.9,8.749151583710407,2.957896479545964,1
Cincinnati Bengals,off,Offensive,0.39999999999999997,-4.7,6.9,13.86156862745098,3.7231127605071244,-1.1
Arizona Cardinals,off,Offensive,0.6307692307692307,-8.5,3.5,7.651975867269985,2.7662205022864654,1.45
New Orleans Saints,off,Offensive,0.7846153846153846,-3.4,5.8,8.36132730015083,2.89159597802854,-0.55
Tennessee Titans,off,Offensive,0.9,-7.8,5.8,7.603921568627451,2.7575209099166322,0.9
Los Angeles Rams,off,Offensive,1.0980769230769232,-7.6,5.2,8.758231523378582,2.9594309458709427,1.8
Cleveland Browns,off,Offensive,1.2057692307692307,-2.2,4,2.2582013574660635,1.5027312991569928,1.3
San Francisco 49ers,off,Offensive,1.25,-6.3,4,3.7758823529411765,1.9431629764230216,1.75
Dallas Cowboys,off,Offensive,1.3942307692307692,-6.8,8.9,18.36643665158371,4.285608084226054,2.8499999999999996
Seattle Seahawks,off,Offensive,1.4634615384615384,-7.3,6.3,11.456089743589743,3.3846845855396546,1.45
Minnesota Vikings,off,Offensive,1.6653846153846155,0,3.4,0.5156410256410257,0.7180814895546506,1.7
Las Vegas Raiders,off,Offensive,1.8653846153846154,-4.8,5.2,2.5230920060331825,1.5884243784433625,1.6
Baltimore Ravens,off,Offensive,2.309615384615385,-2.8,4.9,2.0750037707390647,1.4404873379308354,2.1500000000000004
Tampa Bay Buccaneers,off,Offensive,3.0173076923076922,-0.6,6.7,5.078714177978884,2.2536002702295908,2.8499999999999996
Buffalo Bills,off,Offensive,3.675,-0.8,8.4,4.188186274509804,2.0465058696494873,3
Green Bay Packers,off,Offensive,4.292307692307692,-0.1,7.9,4.371704374057315,2.0908621126361524,4.4
Kansas City Chiefs,off,Offensive,8.430769230769231,3.9,13.4,6.566877828054298,2.562592013578107,9.05
Detroit Lions,def,Defensive,-3.571153846153846,-6.3,-1.9,0.8354260935143287,0.9140164623869358,-3.4
Houston Texans,def,Defensive,-2.6942307692307694,-5,0.9,2.235848416289593,1.4952753647036363,-3.05
Jacksonville Jaguars,def,Defensive,-2.2826923076923076,-4.6,1.5,3.1493024132730016,1.7746274012515983,-2.9
Las Vegas Raiders,def,Defensive,-2.2634615384615384,-4.4,0.3,1.1388348416289593,1.0671620503133343,-2.25
Atlanta Falcons,def,Defensive,-2.1653846153846152,-4.1,0.2,0.640739064856712,0.8004617822586609,-2.2
New York Giants,def,Defensive,-1.4403846153846154,-3,0,0.583239064856712,0.7637009001282583,-1.55
Seattle Seahawks,def,Defensive,-1.0326923076923076,-3.9,0.7,0.7928318250377073,0.8904110427424557,-1.1
Tennessee Titans,def,Defensive,-0.9538461538461539,-3.7,1.3,2.051553544494721,1.4323245248527727,-1.25
Cleveland Browns,def,Defensive,-0.8942307692307693,-3.2,1.3,1.1095739064856711,1.053363140842545,-0.75
New York Jets,def,Defensive,-0.8173076923076923,-5.2,3,4.595576923076923,2.1437296758399653,-0.7
Kansas City Chiefs,def,Defensive,-0.8076923076923077,-3.9,1.7,1.3705279034690798,1.1706954785378987,-0.8
Minnesota Vikings,def,Defensive,-0.6923076923076923,-1.8,0.6,0.3815082956259427,0.6176635780309073,-0.7
Cincinnati Bengals,def,Defensive,-0.6211538461538462,-2.9,1.7,1.7271907993966817,1.314226312092663,-0.4
Green Bay Packers,def,Defensive,-0.4403846153846154,-2,2.3,1.1534351432880845,1.0739809790159622,-0.75
Miami Dolphins,def,Defensive,-0.2980769230769231,-3.3,2,1.845682503770739,1.3585589806006726,-0.2
Chicago Bears,def,Defensive,-0.06730769230769233,-4.3,4.1,6.7496945701357465,2.598017430683587,0.05
Dallas Cowboys,def,Defensive,-0.011538461538461534,-3.5,2.7,2.8661387631975868,1.6929674430412378,0.2
Los Angeles Chargers,def,Defensive,0.38846153846153847,-2.1,2.5,1.2857466063348417,1.1339076709921498,0.25
Carolina Panthers,def,Defensive,0.45576923076923076,-1.9,3.3,1.7797699849170436,1.3340802018308509,0.2
Washington,def,Defensive,0.49615384615384617,-1.8,3,1.2058672699849171,1.0981198796055542,0.6
Arizona Cardinals,def,Defensive,0.6173076923076923,-2.3,4.1,2.6210671191553545,1.6189710062738476,0.25
Philadelphia Eagles,def,Defensive,0.8403846153846154,-0.9,3.4,1.139317496229261,1.0673881656779136,0.75
Indianapolis Colts,def,Defensive,1.0153846153846153,-0.7,3.1,0.911131221719457,0.9545319385538952,1
San Francisco 49ers,def,Defensive,1.096153846153846,-0.8,2.9,0.9650829562594269,0.9823863579363401,0.9
New Orleans Saints,def,Defensive,1.3826923076923077,-1.6,4,2.244204374057315,1.498066879033548,1.85
Denver Broncos,def,Defensive,1.4096153846153847,-1.9,3.9,2.1640233785822023,1.4710619900541928,1.5
Baltimore Ravens,def,Defensive,1.6365384615384615,-1.2,4.8,2.231776018099547,1.4939129887980582,1.4500000000000002
Los Angeles Rams,def,Defensive,1.728846153846154,-2.7,5.7,3.1660143288084464,1.7793297414499782,1.65
Buffalo Bills,def,Defensive,2.0096153846153846,-1.4,6.2,3.5977488687782806,1.8967732781696078,1.85
Pittsburgh Steelers,def,Defensive,2.5403846153846152,-0.4,6.5,3.0444155354449474,1.7448253595832872,2.4
New England Patriots,def,Defensive,2.623076923076923,-0.2,4.5,1.6543589743589744,1.2862188672068897,2.95
Tampa Bay Buccaneers,def,Defensive,2.8230769230769233,0.5,6.1,1.801417797888386,1.3421690645698798,2.4
Los Angeles Chargers,st,Special Teams,-0.4653846153846154,-0.8,0.2,0.09015082956259426,0.30025127737046226,-0.5
Green Bay Packers,st,Special Teams,-0.35384615384615387,-0.6,0.2,0.033906485671191554,0.18413713821820832,-0.4
Tampa Bay Buccaneers,st,Special Teams,-0.3230769230769231,-1,0.2,0.057496229260935144,0.23978371350226257,-0.3
Pittsburgh Steelers,st,Special Teams,-0.3153846153846154,-1.5,0.1,0.24760180995475115,0.4975960308872561,-0.1
Denver Broncos,st,Special Teams,-0.26153846153846155,-1.3,0.1,0.21417797888386125,0.46279366772230285,0
Los Angeles Rams,st,Special Teams,-0.20961538461538462,-0.6,0.3,0.029121417797888387,0.17064998622293642,-0.3
Minnesota Vikings,st,Special Teams,-0.2,-0.7,0.4,0.06784313725490196,0.26046715196911485,-0.2
Philadelphia Eagles,st,Special Teams,-0.1423076923076923,-1.2,0.4,0.048763197586726995,0.22082390628445778,-0.1
Chicago Bears,st,Special Teams,-0.125,-0.6,0.2,0.0713235294117647,0.26706465399180906,-0.2
Indianapolis Colts,st,Special Teams,-0.10961538461538461,-1.1,0.3,0.07931749622926094,0.2816336205591601,-0.1
Kansas City Chiefs,st,Special Teams,-0.09615384615384616,-0.7,0.1,0.019200603318250378,0.13856624162562242,-0.1
Tennessee Titans,st,Special Teams,-0.07307692307692308,-0.9,0.2,0.05141779788838613,0.22675492913801484,-0
Cleveland Browns,st,Special Teams,-0.04230769230769231,-0.3,0.3,0.013076923076923078,0.11435437497937312,-0.1
Carolina Panthers,st,Special Teams,-0.024999999999999994,-0.4,0.5,0.0525,0.229128784747792,0.1
New York Jets,st,Special Teams,-0.019230769230769235,-0.6,0.7,0.2243288084464555,0.4736336225886582,-0.15000000000000002
New York Giants,st,Special Teams,-0.011538461538461536,-0.5,0.2,0.022609351432880846,0.15036406297011545,-0
