week,variable,value
1,fpi,0.9999999999999999
2,fpi,0.787183355823381
3,fpi,0.7580744605817871
4,fpi,0.7385757604785034
5,fpi,0.738320213280644
6,fpi,0.6729452347315534
7,fpi,0.6684591223550871
8,fpi,0.6106125596746989
9,fpi,0.6201496124111686
10,fpi,0.5753128975678408
11,fpi,0.5828148607767598
12,fpi,0.5999035410918394
13,fpi,0.6061162701367802
14,fpi,0.5575445685163468
15,fpi,0.5513102398612899
16,fpi,0.5342097121267221
17,fpi,0.5030253903092485
18,fpi,0.2783711306875428
1,off,1
2,off,0.745731270626464
3,off,0.7188881643875756
4,off,0.6921349533668749
5,off,0.7122656858721249
6,off,0.6321421027274642
7,off,0.6037040559019645
8,off,0.5411692753164982
9,off,0.53782095348889
10,off,0.46470203272375593
11,off,0.4894948904218405
12,off,0.5222741580187542
13,off,0.5509370528901815
14,off,0.5166790403749815
15,off,0.5060832353654078
16,off,0.47125233069884653
17,off,0.46151007088465673
18,off,0.30798908429991856
1,def,0.9999999999999998
2,def,0.8103147448977869
3,def,0.7706176904557789
4,def,0.7321416520483626
5,def,0.6572942601844778
6,def,0.6579591633663332
7,def,0.6608733747815851
8,def,0.6571357297210887
9,def,0.6444982694495267
10,def,0.6606189477085591
11,def,0.6408406397211527
12,def,0.6254021018512038
13,def,0.6017745698365792
14,def,0.5742014756023126
15,def,0.5825765958449904
16,def,0.5745061691675348
17,def,0.5507548823983556
18,def,0.12279551331858786
1,st,1
2,st,0.6684531317483791
3,st,0.6446789267817149
4,st,0.6719824983223192
5,st,0.6762772529156889
6,st,0.6464276549886453
7,st,0.6409330727216577
8,st,0.6416537720925126
9,st,0.65336397629338006
10,st,0.6624610248762559
11,st,0.6318366548043204
12,st,0.5998491742164885
13,st,0.6137391623308022
14,st,0.6367805339434485
15,st,0.615981353076236
16,st,0.6237162644231475
17,st,0.5682855135733779
18,st,0.29362139455786335
